Genome,ST,Serotype,Year
BA0059AA,11,O157:H7,
BA0639AA,11,O157:H7,
BA0916AA,11,O157:H7,
BA3172AA,11,O157:H7,
BA6374AA,11,O157:H7,
BA7559AA,11,O157:H7,
BA8051AA,11,O157:H7,
CA4336AA,11,O157:H7,
FA5816AA,11,O157:H7,
GA0730AA,11,O157:H7,
GA2982AA,11,O157:H7,
GA3550AA,11,O157:H7,
GA5517AA,11,O157:H7,
GA6502AA,11,O157:H7,2015
GA9170AA,335,O55:H7,2015
HA1538AA,11,O157:H7,
HA3290AA,11,O157:H7,2015
HA4966AA,11,O157:H7,2014
HA5262AA,11,O157:H7,
HA5303AA,11,O157:H7,2005
HA5399AA,11,O157:H7,2008
HA6243AA,11,O157:H7,2003
HA7328AA,11,O157:H7,
HA7397AA,11,-:H7,2011
HA7400AA,11,-:H7,2011
IA1360AA,11,O157:H7,
IA2172AA,11,O157:H7,
IA8177AA,11,O157:H7,
JA3480AA,11,O157:H7,2016
JA4856AA,11,O157:H7,2016
JA4859AA,11,O157:H7,2016
JA4864AA,11,O157:H7,2016
JA5052AA,11,O157:H7,2016
JA5103AA,11,O157:H7,2015
JA5419AA,11,O157:H7,2016
JA7998AA,11,O157:H7,2014
JA8300AA,11,O157:H7,2016
JA8723AA,335,O55:H7,2014
JA9021AA,11,O157:H7,2016
JA9437AA,11,O157:H7,2015
KA3940AA,11,O157:H7,2015
LA1882AA,11,O157:H7,2016
LA5461AA,11,O157:H7,1993
LA8747AA,11,O157:H7,
MA4272AA,11,O157:H7,
OA0013AA,11,O157:H7,2003
OA1382AA,11,O157:H7,
OA6524AA,11,O157:H7,
OA7449AA,11,-:H7,
PA0773AA,11,O157:H7,2016
PA2358AA,11,O157:H7,
PA3771AA,11,-:H7,
PA5157AA,11,O157:H7,2014
PA5189AA,11,O157:H7,2016
PA5394AA,11,O157:H7,2017
PA5443AA,11,O157:H7,2017
PA5576AA,11,O157:H7,2017
QA2136AA,11,O157:H7,
QA3216AA,11,O157:H7,2014
QA3217AA,11,O157:H7,2014
QA3264AA,11,O157:H7,2014
QA4110AA,11,O157:H7,
QA4167AA,11,O157:H7,
QA9964AA,11,O157:H7,2014
RA1514AA,11,O157:H7,
RA1602AA,11,O157:H7,2012
RA1875AA,11,O157:H7,
RA3710AA,11,O157:H7,2008
RA3843AA,11,O157:H7,
RA7087AA,11,O157:H7,2017
RA7765AA,11,O157:H7,2016
RA8120AA,11,O157:H7,2017
RA9997AA,11,O157:H7,
SA0018AA,11,-:H7,
SA0964AA,11,-:H7,
SA1640AA,11,O157:H7,
SA1750AA,11,O157:H7,
SA3120AA,11,O157:H7,
SA4520AA,11,O157:H7,2016
SA7867AA,11,O157:H7,
SA8479AA,11,O157:H7,2012
SA9478AA,11,O157:H7,2015
TA0036AA,11,O157:H7,2016
TA1630AA,11,O157:H7,2011
TA6747AA,11,O157:H7,2009
TA6765AA,11,O157:H7,2008
TA6766AA,11,O157:H7,2004
TA6885AA,11,O157:H7,2011
TA6891AA,11,O157:H7,2007
TA7060AA,11,O157:H7,2018
TA7477AA,11,O157:H7,2018
TA8063AA,11,O157:H7,2018
TA8116AA,11,O157:H7,2018
TA8651AA,11,O157:H7,2018
UA2228AA,11,O157:H7,2018
UA7031AA,11,O157:H7,2014
UA7068AA,11,O157:H7,2014
UA9725AA,11,O157:H7,2018
VA4697AA,11,O157:H7,1996
VA5977AA,11,O157:H7,
